   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 decimal.py:5689(_Log10Memoize)
        1    0.000    0.000    0.000    0.000 decimal.py:5693(__init__)
        1    0.000    0.000    0.000    0.000 draw.py:101(Box)
        2    0.000    0.000    0.322    0.161 draw.py:102(__init__)
        1    0.000    0.000    0.000    0.000 draw.py:114(Square)
        1    0.000    0.000   39.685   39.685 draw.py:119(display)
     21/1    0.000    0.000    0.009    0.009 draw.py:14(draw)
        1    0.004    0.004    0.018    0.018 draw.py:2(<module>)
        1    0.000    0.000    0.000    0.000 draw.py:20(Point)
      133    0.000    0.000    0.003    0.000 draw.py:21(__init__)
       44    0.000    0.000    0.015    0.000 draw.py:32(__add__)
       17    0.000    0.000    0.000    0.000 draw.py:36(draw)
        1    0.000    0.000    0.000    0.000 draw.py:42(Line)
       24    0.001    0.000    0.030    0.001 draw.py:43(__init__)
      112    0.002    0.000    0.006    0.000 draw.py:60(draw)
        1    0.000    0.000    0.000    0.000 draw.py:7(Primitive)
        1    0.000    0.000    0.000    0.000 draw.py:70(Circle)
        4    0.000    0.000    0.006    0.001 draw.py:71(__init__)
       16    0.000    0.000    0.001    0.000 draw.py:80(draw)
        1    0.000    0.000    0.000    0.000 draw.py:91(hLine)
        8    0.000    0.000    0.533    0.067 draw.py:92(__init__)
        1    0.000    0.000    0.000    0.000 draw.py:96(vLine)
        8    0.000    0.000    0.553    0.069 draw.py:97(__init__)
        1    0.004    0.004   55.648   55.648 example_cartoonstrip.py:1(<module>)
        1    0.000    0.000    0.000    0.000 example_cartoonstrip.py:36(Panel)
        2    0.000    0.000   13.630    6.815 example_cartoonstrip.py:37(__init__)
        1    0.000    0.000    0.000    0.000 example_cartoonstrip.py:58(Strip)
        1    0.000    0.000   15.921   15.921 example_cartoonstrip.py:59(__init__)
        1    0.000    0.000    0.000    0.000 example_cartoonstrip.py:6(Stickfigure)
        4    0.001    0.000    8.837    2.209 example_cartoonstrip.py:7(__init__)
        1    0.000    0.000    0.000    0.000 exceptions.py:3(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:3(Contradiction)
        1    0.000    0.000    0.000    0.000 exceptions.py:6(NormaliseError)
        1    0.000    0.000    0.000    0.000 exceptions.py:9(PolynomialError)
        1    0.000    0.000    0.000    0.000 expressions.py:121(Expr)
    86187    0.196    0.000    9.950    0.000 expressions.py:122(__init__)
    17169    0.028    0.000    4.608    0.000 expressions.py:140(__add__)
    39631    0.061    0.000    7.775    0.000 expressions.py:141(__mul__)
    17069    0.043    0.000    7.431    0.000 expressions.py:142(__sub__)
    22531    0.029    0.000    3.178    0.000 expressions.py:145(__rmul__)
       76    0.000    0.000    0.009    0.000 expressions.py:146(__truediv__)
    17071    0.015    0.000    2.709    0.000 expressions.py:147(__neg__)
